Stock_Name,Stock_Species,Stock_Abundance,Forecasting_Year,Run_Year,Brood_Year,Age_Class,Average_Escapement,Average_Terminal_Run
Sample Stock,Chinook salmon,Escapement,2022,1992,NA,Total,16074,NA
,,,NA,1993,NA,Total,14918,NA
,,,NA,1994,NA,Total,12664,NA
,,,NA,1995,NA,Total,14242,NA
,,,NA,1996,NA,Total,10219,NA
,,,NA,1997,NA,Total,5626,NA
,,,NA,1998,NA,Total,6543,NA
,,,NA,1999,NA,Total,7412,NA
,,,NA,2000,NA,Total,10538,NA
,,,NA,2001,NA,Total,12275,NA
,,,NA,2002,NA,Total,3422,NA
,,,NA,2003,NA,Total,6889,NA
,,,NA,2004,NA,Total,6260,NA
,,,NA,2005,NA,Total,5839,NA
,,,NA,2006,NA,Total,11594,NA
,,,NA,2007,NA,Total,5246,NA
,,,NA,2008,NA,Total,2243,NA
,,,NA,2009,NA,Total,4027,NA
,,,NA,2010,NA,Total,5369,NA
,,,NA,2011,NA,Total,4065,NA
,,,NA,2012,NA,Total,2565,NA
,,,NA,2013,NA,Total,6949,NA
,,,NA,2014,NA,Total,7601,NA
,,,NA,2015,NA,Total,11667,NA
,,,NA,2016,NA,Total,7760,NA
,,,NA,2017,NA,Total,4148,NA
,,,NA,2018,NA,Total,2795,NA
,,,NA,2019,NA,Total,2781,NA
,,,NA,2020,NA,Total,6082,NA
,,,NA,2021,NA,Total,5138,NA
,,,NA,2022,NA,Total,NA,NA
